"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.RES:WEO(6.0.0)","MAC.PPPEX.A","OBS_VALUE","Macao Special Administrative Region, People's Republic of China","5.141","5.137","5.155","5.212","5.243","5.163","4.897","4.629","4.76","4.757"
"IMF.RES:WEO(6.0.0)","KOR.PPPEX.A","OBS_VALUE","Korea, Republic of","861.187","870.675","872.625","854.871","847.548","829.359","827.274","786.18","773.292","777.241"
"IMF.RES:WEO(6.0.0)","JPN.PPPEX.A","OBS_VALUE","Japan","107.629","107.064","105.102","104.159","103.232","100.742","98.691","92.484","92.658","92.865"
"IMF.RES:WEO(6.0.0)","MWI.PPPEX.A","OBS_VALUE","Malawi","197.685","236.056","262.309","286.32","298.671","298.386","294.858","322.484","379.558","493.316"
"IMF.RES:WEO(6.0.0)","ITA.PPPEX.A","OBS_VALUE","Italy","0.695","0.697","0.69","0.681","0.647","0.632","0.617","0.597","0.61","0.606"
"IMF.RES:WEO(6.0.0)","KAZ.PPPEX.A","OBS_VALUE","Kazakhstan, Republic of","98.499","111.099","121.614","130.109","126.169","124.875","129.063","144.152","153.822","159.547"
"IMF.RES:WEO(6.0.0)","JAM.PPPEX.A","OBS_VALUE","Jamaica","63.026","65.266","68.533","71.633","74.132","77.281","81.327","85.63","91.951","95.419"
"IMF.RES:WEO(6.0.0)","LBY.PPPEX.A","OBS_VALUE","Libya","0.743","0.77","0.771","0.81","0.86","0.843","1.763","2.348","2.095","2.05"
"IMF.RES:WEO(6.0.0)","KOS.PPPEX.A","OBS_VALUE","Kosovo, Republic of","0.339","0.339","0.34","0.337","0.335","0.335","0.34","0.341","0.345","0.348"
"IMF.RES:WEO(6.0.0)","LTU.PPPEX.A","OBS_VALUE","Lithuania, Republic of","0.43","0.433","0.443","0.447","0.432","0.433","0.434","0.473","0.488","0.491"
"IMF.RES:WEO(6.0.0)","LBN.PPPEX.A","OBS_VALUE","Lebanon","613.799","613.309","619.013","629.079","637.469","1261.38","4099.508","10108.872","31355.748",""
"IMF.RES:WEO(6.0.0)","JOR.PPPEX.A","OBS_VALUE","Jordan","0.31","0.312","0.312","0.325","0.314","0.298","0.323","0.31","0.304","0.304"
